cmeID,observedTime,CME_Angular_Width,CME_Measurement_Position_Angle,CME_Linear_Speed,CME_2nd-order_Speed_At_Final_Height,CME_2nd-order_Speed_At_20_Rs,CME_Acceleration,CME_Mass,IMF_Magnitude_Avg,IMF_Bx,IMF_By_GSM,IMF_Bz_GSM,SW_Plasma_Speed,SW_Plasma_Temperature,SW_Proton_Density,R_Sunspot_Number,maxKP,OG_avgPredictedMaxKpLowerRange,OG_avgPredictedMaxKpUpperRange,OG_medianPredictedMaxKpLowerRange,OG_medianPredictedMaxKpUpperRange,OG_meanofavgPredictedMaxKpRange,ar_fixed,ar_source,ar_flag,ar_group,is_real,uid,storm_level
2022-03-07T00:12:00-CME-001,2022-03-07T00:12:00+00:00,204.0,306,241.0,331,500,9.5,730000000000000.0,3.7000000000000006,1.9333333333333336,-0.85,-2.083333333333333,474.3333333333333,126854.83333333331,1.4833333333333334,89.0,4.0,2.8,4.4,3.0,4.0,3.6,12958.0,direct,,12958,1,2022-03-07T00:12:00-CME-001,G0_quiet
2015-06-19T06:42:00-CME-001,2015-06-19T06:42:00+00:00,360.0,177,584.0,865,735,19.5,1.2e+16,4.35,-2.5666666666666664,3.033333333333333,-0.9166666666666666,367.8333333333333,38954.833333333336,2.2333333333333334,68.0,5.0,3.75,6.0,4.0,6.0,4.875,12371.0,note,auto_fixed,12371,1,2015-06-19T06:42:00-CME-001,G1_minor
2013-09-29T22:40:00-CME-001,2013-09-29T22:40:00+00:00,360.0,343,1179.0,1142,1164,-5.3,2.2e+16,2.75,-1.0166666666666666,-0.3666666666666667,-0.2166666666666666,269.6666666666667,14179.333333333334,13.7,51.333333333333336,6.0,3.0,5.5,3.0,5.5,4.25,,none,missing,-10,1,2013-09-29T22:40:00-CME-001,G2_moderate
2024-09-14T15:36:00-CME-001,2024-09-14T15:36:00+00:00,360.0,95,2366.0,2713,2543,111.4,1.7e+16,8.549999999999999,-5.283333333333333,4.15,-2.583333333333333,421.8333333333333,60204.333333333336,2.283333333333333,107.0,7.67,5.57143,8.0,5.0,8.0,6.785715,13825.0,direct,,13825,1,2024-09-14T15:36:00-CME-001,G3_strong
2024-09-08T01:36:00-CME-001,2024-09-08T01:36:00+00:00,166.0,315,535.0,402,354,-13.2,2600000000000000.0,7.866666666666667,5.533333333333332,-3.516666666666667,0.3166666666666667,344.3333333333333,52964.5,6.366666666666667,156.0,3.0,3.4,6.0,3.0,6.0,4.7,,none,missing,-144,1,2024-09-08T01:36:00-CME-001,G0_quiet
2024-12-29T01:23:00-CME-001,2024-12-29T01:23:00+00:00,115.0,182,471.0,454,445,-1.7,830000000000000.0,7.266666666666666,4.4,-4.6000000000000005,-2.083333333333333,332.8333333333333,59804.0,5.583333333333333,234.0,8.0,4.66667,6.33333,4.0,6.0,5.5,13938.0,note,auto_fixed,13938,1,2024-12-29T01:23:00-CME-001,G4+_severe_extreme
2013-05-17T09:24:00-CME-001,2013-05-17T09:24:00+00:00,360.0,50,1345.0,1319,1337,-3.7,5800000000000000.0,4.9,1.0833333333333333,2.333333333333333,-1.3999999999999997,396.6666666666667,53790.833333333336,10.766666666666667,183.0,4.0,5.0,6.0,5.0,6.0,5.5,,none,missing,-1,1,2013-05-17T09:24:00-CME-001,G0_quiet
2021-04-22T05:23:00-CME-001,2021-04-22T05:23:00+00:00,113.0,277,284.0,264,91,-3.6,170000000000000.0,2.9,-0.7000000000000001,-0.2499999999999999,-1.2000000000000002,441.0,51248.5,4.3,44.0,5.0,4.0,5.4,4.0,5.0,4.7,12816.0,direct,,12816,1,2021-04-22T05:23:00-CME-001,G1_minor
2023-05-17T16:36:00-CME-001,2023-05-17T16:36:00+00:00,105.0,219,273.0,244,148,-2.8,3900000000000000.0,4.333333333333333,-3.516666666666667,1.15,0.1333333333333334,388.4,45294.4,2.6,110.0,6.0,3.0,5.0,3.0,5.0,4.0,13303.0,direct,,13303,1,2023-05-17T16:36:00-CME-001,G2_moderate
2017-06-28T16:24:00-CME-001,2017-06-28T16:24:00+00:00,182.0,310,229.0,295,409,5.8,1500000000000000.0,4.3,-3.3000000000000003,2.3,0.75,395.3333333333333,44602.333333333336,3.483333333333333,16.0,5.0,3.0,6.0,3.0,6.0,4.5,12664.0,direct,,12664,1,2017-06-28T16:24:00-CME-001,G1_minor
